cpt, raw_angle, angle
80459, 3.103627, 324.1903
80460, 3.097107, 324.1966
80461, 3.089437, 324.2029
80462, 3.081384, 324.2092
80463, 3.07333, 324.2155
80464, 3.066044, 324.2217
80465, 3.060292, 324.2281
80466, 3.051471, 324.2343
80467, 3.046486, 324.2406
80468, 3.038816, 324.2469
80469, 3.032296, 324.2532
80470, 3.024627, 324.2595
80471, 3.018491, 324.2657
80472, 3.012355, 324.272
80473, 3.005068, 324.2783
80474, 2.998549, 324.2846
80475, 2.990879, 324.2909
80476, 2.983976, 324.2971
80477, 2.977457, 324.3034
80478, 2.969787, 324.3098
80479, 2.962884, 324.316
80480, 2.956364, 324.3223
80481, 2.949845, 324.3286
80482, 2.944093, 324.3348
80483, 2.935272, 324.3411
80484, 2.928369, 324.3474
80485, 2.922233, 324.3537
80486, 2.916097, 324.36
80487, 2.910728, 324.3663
80488, 2.904209, 324.3726
80489, 2.896156, 324.3788
80490, 2.89117, 324.3851
80491, 2.887335, 324.3914
80492, 2.879282, 324.3977
80493, 2.873529, 324.404
80494, 2.866243, 324.4102
80495, 2.860874, 324.4165
80496, 2.853588, 324.4228
80497, 2.848219, 324.4291
80498, 2.841316, 324.4354
80499, 2.834413, 324.4417
80500, 2.829427, 324.4479
80501, 2.822908, 324.4542
80502, 2.817156, 324.4605
80503, 2.810253, 324.4668
80504, 2.80335, 324.4731
80505, 2.800282, 324.4794
80506, 2.791461, 324.4857
80507, 2.784942, 324.4919
80508, 2.77919, 324.4982
80509, 2.774204, 324.5045
80510, 2.766151, 324.5108
80511, 2.763466, 324.5171
80512, 2.75618, 324.5233
80513, 2.751194, 324.5296
80514, 2.745442, 324.5359
80515, 2.739306, 324.5422
80516, 2.733554, 324.5485
80517, 2.728952, 324.5547
80518, 2.722432, 324.561
80519, 2.717063, 324.5673
80520, 2.710544, 324.5736
80521, 2.704408, 324.5799
80522, 2.699039, 324.5862
80523, 2.692903, 324.5925
80524, 2.689068, 324.5988
80525, 2.682165, 324.605
80526, 2.674879, 324.6113
80527, 2.667976, 324.6176
80528, 2.663374, 324.6239
80529, 2.657622, 324.6302
80530, 2.651486, 324.6364
80531, 2.645733, 324.6427
80532, 2.639597, 324.649
80533, 2.633461, 324.6553
80534, 2.627709, 324.6616
80535, 2.62234, 324.6678
80536, 2.616588, 324.6741
80537, 2.609685, 324.6804
80538, 2.605466, 324.6867
80539, 2.599714, 324.693
80540, 2.593578, 324.6993
80541, 2.588593, 324.7056
80542, 2.580539, 324.7119
80543, 2.574787, 324.7181
80544, 2.569801, 324.7244
80545, 2.564432, 324.7307
80546, 2.558296, 324.737
80547, 2.552544, 324.7433
80548, 2.547175, 324.7495
80549, 2.539122, 324.7558
80550, 2.533753, 324.7621
80551, 2.526466, 324.7684
80552, 2.522631, 324.7747
80553, 2.515345, 324.7809
80554, 2.509593, 324.7872
80555, 2.502306, 324.7935
80556, 2.497704, 324.7998
80557, 2.491568, 324.8061
80558, 2.486199, 324.8124
80559, 2.478913, 324.8187
80560, 2.473544, 324.825
80561, 2.467408, 324.8312
80562, 2.461272, 324.8375
80563, 2.45552, 324.8438
80564, 2.449384, 324.8501
80565, 2.442864, 324.8564
80566, 2.436345, 324.8626
80567, 2.432127, 324.8689
80568, 2.424073, 324.8752
80569, 2.418704, 324.8815
80570, 2.412568, 324.8878
80571, 2.406432, 324.894
80572, 2.398379, 324.9003
80573, 2.393777, 324.9066
80574, 2.386107, 324.9129
80575, 2.380738, 324.9192
80576, 2.374219, 324.9255
80577, 2.365398, 324.9318
80578, 2.360413, 324.938
80579, 2.354661, 324.9443
80580, 2.348908, 324.9506
80581, 2.342005, 324.9569
80582, 2.335869, 324.9632
80583, 2.32935, 324.9695
80584, 2.322447, 324.9757
80585, 2.316311, 324.982
80586, 2.309792, 324.9883
80587, 2.303656, 324.9946
80588, 2.297136, 325.0009
80589, 2.291, 325.0071
80590, 2.284481, 325.0134
80591, 2.278345, 325.0197
80592, 2.271826, 325.026
80593, 2.265306, 325.0323
80594, 2.25802, 325.0386
80595, 2.252267, 325.0449
80596, 2.246131, 325.0511
80597, 2.239612, 325.0574
80598, 2.232326, 325.0637
80599, 2.225039, 325.07
80600, 2.21967, 325.0763
80601, 2.212767, 325.0826
80602, 2.205481, 325.0888
80603, 2.199345, 325.0951
80604, 2.193976, 325.1014
80605, 2.18669, 325.1077
80606, 2.18017, 325.114
80607, 2.172884, 325.1202
80608, 2.166748, 325.1265
80609, 2.161379, 325.1328
80610, 2.155243, 325.1391
80611, 2.150258, 325.1454
80612, 2.142204, 325.1517
80613, 2.136835, 325.158
80614, 2.129932, 325.1642
80615, 2.123796, 325.1705
